symbol	Central_memory	Effector_memory	Gamma_delta	CD4_naive	NKT	Cytotoxic	nTreg	Th1	Th2	Exhausted	iTreg	CD8_naive	MAIT	Th17	Tr1	Tfh	Bcell	NK	Monocyte	Macrophage	DC	Neutrophil	CD8_T	CD4_T
CHRNB1	5.899115632	5.841243229	5.8349936	5.764281343	5.800390638	5.633031767	6.164140287	5.840424784	5.742079038	5.825718694	5.88966625	5.844594212	5.845728253	6.080880825	6.01068818	5.217724506	5.612877193	5.896263868	6.044966596	5.799727802	6.199179795	5.635151239	4.98154614	5.311022169
CHRNB2	7.346535957	7.323430126	7.465883234	7.405155609	7.421244842	7.403506854	7.493453612	7.34405701	7.306643771	7.447760682	7.408174287	7.444137398	7.388726399	7.400354958	7.227739255	7.568467452	7.753423236	7.209091649	7.390224322	7.330401064	7.303770653	7.502678625	6.326322426	6.71915052
CHRNB3	4.585599016	4.593921094	4.690374559	4.631958785	4.651553634	4.511289469	4.677949938	4.615769624	4.609123575	4.628980319	4.646952986	4.612292603	4.629376349	4.619955966	4.377890761	4.511393994	4.935809847	4.463657717	4.569193317	4.568165079	4.541347413	4.945474587	3.943920018	4.168241705
CHRNB4	3.99322429	3.980206168	4.029386186	3.897850284	3.979011824	3.850261104	4.074880423	3.960628743	3.962928286	3.954664038	4.0127383	3.949408325	3.957882891	4.05256263	3.903457248	4.0765256	4.192930723	3.889481732	3.862650872	3.935020815	3.85388179	4.217627916	3.3764412	3.632100799
CHRND	5.650486185	5.671224416	5.694134041	5.724124286	5.691622125	5.907902667	5.487413546	5.630237872	5.63953286	5.687274887	5.821453303	5.757637539	5.620336945	5.630237872	5.465616208	5.547966192	6.239352418	5.347830883	5.606696477	5.620932816	5.577904276	6.056414031	4.899584849	5.115567731
CHRNE	6.016127965	6.017626934	6.02498925	5.996219194	6.002657008	5.976923184	5.963538427	5.984099883	5.946492334	5.971289138	6.008340945	5.921142204	6.077494708	5.983753302	5.683283327	5.886750431	6.251823669	5.843972408	5.969802445	5.806300785	5.93720856	6.464811289	5.124137174	5.42761125
CHRNG	6.138213308	6.092520308	6.251446164	6.324316116	6.199911028	6.149770005	6.109172038	6.163332389	6.100985454	6.119276845	6.350316816	6.338070499	6.149582226	6.199088613	6.264982737	5.866576052	6.36565922	6.042602757	6.184175482	6.111473085	6.061442854	6.637384802	5.265420933	5.61356651
CHST1	5.424980717	5.348603754	5.566830313	5.517199508	5.465515387	5.525064874	5.511580082	5.405761919	5.427550134	5.46733256	5.345946044	5.443157928	5.440255351	5.409983327	5.22332103	5.563364363	5.833713038	5.266268308	5.353326815	5.416864339	5.32069495	5.705331375	4.662936179	4.929019193
CHST10	7.005035937	7.238294909	7.326349124	7.078390116	7.321876626	7.435482161	7.063331572	7.066787966	7.107893679	7.116539602	7.006517369	6.98912734	7.230059145	7.110135022	7.733952866	6.892005196	7.573242191	7.059100784	6.967849769	7.030794424	6.795471502	7.582513125	6.167848441	6.50037045
CHST11	8.212939562	8.264532108	8.10031563	7.635360916	7.929010758	8.381960402	8.058351524	8.207646769	7.902933036	7.914154285	7.25793034	7.202694321	7.895389964	7.946419377	8.199159568	7.964400947	6.641113039	8.133691859	7.802290242	8.63804164	8.121344669	8.246432186	6.823245626	7.239523965
CHST12	7.317511734	8.17502166	7.906898321	7.321037848	7.789400758	8.485373606	8.204420374	7.799348221	7.758364319	7.511730105	8.423906564	6.822626993	7.970023188	7.588009753	8.49005036	6.540107983	7.140440046	9.078423308	7.234409385	7.451057568	7.428461055	7.081897031	6.58846144	7.069232195
CHST15	5.830413743	5.848961214	5.637280267	5.888222561	5.9011581	6.223444	6.082625581	6.457014307	5.65130497	5.793066334	5.312844313	5.9986525	6.146276053	6.450589418	5.674629749	6.754024935	5.954925322	4.716086775	7.791650805	6.929678304	5.535580214	8.14356522	5.104852145	5.535177053
CHST2	5.568049969	5.602315512	5.515688944	5.62708298	5.577094386	5.712710079	5.997368077	6.074474936	5.647243069	5.92003952	6.076632744	5.990982413	6.052575967	6.012910663	6.748815917	5.368936656	5.361397608	7.378335628	5.918676738	5.426027382	5.647839525	5.259407652	4.967183904	5.412736861
CHST3	5.997690994	6.101478236	6.203153189	6.044352147	6.204089938	6.177205566	6.208167396	5.992914237	6.000198636	6.074489837	6.219678117	6.122477238	6.098662104	6.038735128	6.05110878	5.982565043	6.61239148	5.93040987	6.010032476	5.946047822	6.01707012	6.467860781	5.216371471	5.52719359
CHST4	5.546374705	5.653235263	5.719220064	5.697868111	5.712031333	5.550356617	5.95182149	5.660079441	5.5333284	5.716703652	5.724305075	5.741042228	5.758844839	5.685260207	5.75702713	5.243347974	6.300658773	5.432466929	5.608248111	5.523204266	5.455759745	6.055956688	4.862134914	5.12788598
CHST5	6.132151441	6.112795067	6.191664692	6.293335801	6.269007259	6.227516297	5.962958163	6.186425904	6.26050007	6.157435553	6.224445048	6.210907958	6.160289786	6.257558878	6.501879847	6.102027476	6.586837255	5.986890603	6.207020385	6.085348683	6.138589777	6.447141948	5.295195401	5.645660614
CHST7	7.216581965	7.397079716	7.083371753	6.444271527	6.995124912	7.318603385	7.814114811	6.888399235	6.712609537	6.805418086	7.128910279	5.863517759	6.649789449	6.992582946	6.418256687	7.698240101	6.532481395	6.130269887	7.05585962	6.996193019	7.65976938	7.565016395	5.867113673	6.448884771
CHST8	5.939736473	5.856082832	6.05954273	5.894910283	6.04297413	6.126618401	5.763968792	6.011928699	5.96663801	5.941116516	5.910882245	5.885405306	5.881661787	5.999816715	6.25675159	5.607241812	5.7137688	5.953872925	5.923064563	5.999191381	6.213699238	6.248549136	5.074064752	5.39793929
CHSY1	9.174455916	9.767376693	9.480500827	8.960049599	8.667723528	9.486955418	10.06765098	9.249575116	9.719456011	9.351278802	8.837364858	8.725795476	9.289657387	9.049081594	9.19239587	9.622391171	8.472232309	10.08768828	9.552874246	9.176882835	8.402313123	10.49822573	7.954123207	8.516371253
CHTOP	8.814595478	8.780318348	9.100144174	9.467856269	9.073402991	9.333438938	8.764692986	9.044975505	9.186489557	8.948017774	9.441900438	9.25107039	8.611662125	8.909305889	9.489538618	7.486168538	9.423534906	8.049275354	9.275433731	9.005214149	9.04313697	8.800216718	7.739865087	8.079444912
CHUK	6.91822373	7.254271935	7.03561296	6.776133815	6.553573083	7.775877838	7.476066893	7.090361757	7.061376965	6.706751751	7.173114052	6.713184787	6.810948076	6.833489116	6.72301962	8.028526494	5.627522014	7.161779382	6.848665782	7.681529667	7.316672217	6.638230197	6.027830376	6.428918031
CHURC1-FNTB	6.516627897	6.444768796	6.507437443	6.632858058	6.626925394	6.445889135	6.714456958	6.610562083	6.670711006	6.654217789	6.742091151	6.672457345	6.644902401	6.585339182	6.554798202	6.684038739	6.945670882	6.199861209	6.841324037	6.587032749	6.496043554	6.679198705	5.617249377	6.015721771
FNTB	6.516627897	6.444768796	6.507437443	6.632858058	6.626925394	6.445889135	6.714456958	6.610562083	6.670711006	6.654217789	6.742091151	6.672457345	6.644902401	6.585339182	6.554798202	6.684038739	6.945670882	6.199861209	6.841324037	6.587032749	6.496043554	6.679198705	5.617249377	6.015721771
CIAO1	7.189762538	7.220125041	6.993996984	7.141360952	7.133556666	7.28464499	7.088899138	7.070997945	7.21766346	7.191976545	7.324385758	7.046152771	7.020268635	7.036782493	7.017721526	7.213143303	6.689531817	7.314724416	7.091789558	7.447967154	7.215207554	6.490790666	6.128562619	6.506164213
CIAPIN1	7.345955661	7.525696627	7.985476063	7.668542582	7.636845211	7.867887787	7.375700142	7.741835664	7.931386195	7.549814738	7.988436591	7.80934743	7.646280809	7.581668244	7.911806113	7.573857734	7.470219696	8.327492364	7.072366095	7.774370965	7.676766165	6.447212031	6.589042926	6.925186305
CIB1	9.975855709	9.921253484	9.472191041	9.587448951	9.210112679	10.06820353	9.500176922	9.84943097	9.785527866	9.625188033	9.755492256	9.834517588	9.504210488	9.734981959	9.772504519	9.825981034	9.657224758	10.02639038	9.4587199	9.657146719	9.710905506	8.699782054	8.464642851	8.863518522
